STATION,NAME,DATE,PRCP,TMAX,TMIN,year,month,day
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-01,0,37,20,2014,1,1
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-02,0,44,20,2014,1,2
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-03,0,46,27,2014,1,3
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-04,0,31,11,2014,1,4
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-05,0,22,4,2014,1,5
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-06,0,32,7,2014,1,6
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-07,0.1,40,26,2014,1,7
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-08,0.1,30,21,2014,1,8
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-09,0.3,30,18,2014,1,9
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-10,0.2,32,20,2014,1,10
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-11,0,43,26,2014,1,11
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-12,0,31,18,2014,1,12
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-13,0,34,22,2014,1,13
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-14,0,38,20,2014,1,14
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-15,0,41,19,2014,1,15
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-16,0,47,21,2014,1,16
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-17,0,42,22,2014,1,17
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-18,0,46,23,2014,1,18
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-19,0,48,27,2014,1,19
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-20,0,45,27,2014,1,20
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-21,0,48,25,2014,1,21
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-22,0,42,21,2014,1,22
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-23,0,35,15,2014,1,23
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-24,0,45,18,2014,1,24
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-25,0,45,25,2014,1,25
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-26,0,41,21,2014,1,26
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-27,0,36,18,2014,1,27
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-28,0.1,37,13,2014,1,28
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-29,1,38,25,2014,1,29
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-30,0.2,28,18,2014,1,30
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-01-31,0,28,9,2014,1,31
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-02-01,0,25,7,2014,2,1
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-02-02,0,30,5,2014,2,2
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-02-03,0,30,8,2014,2,3
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-02-04,0,24,5,2014,2,4
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-02-05,0.1,25,2,2014,2,5
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-02-06,0.2,31,18,2014,2,6
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-02-07,0.9,28,23,2014,2,7
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-02-08,1.2,35,27,2014,2,8
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-02-09,0.3,37,25,2014,2,9
